payment_id,order_id,customer_id,payment_timestamp,created_ts,payment_method,amount,payment_status,failure_reason
PAY-HO-20260429-00000001,ORD-HCM-20260429-00000001,CUS-HCM-00000751,2026-04-29 09:19:19,2026-04-29 09:21:40,cod,511064.0,success,
PAY-HUE-20260429-00000002,ORD-HUI-20260429-00000002,CUS-HUI-00000428,2026-04-29 20:56:11,2026-04-29 20:57:08,e_wallet,1223566.0,success,
PAY-DON-20260427-00000003,ORD-DNA-20260427-00000003,CUS-DNA-00000327,2026-04-27 16:39:29,2026-04-27 16:40:52,e_wallet,985614.0,success,
PAY-OTH-20260501-00000004,ORD-OVN-20260501-00000004,CUS-OVN-00000673,2026-05-01 04:48:19,2026-05-01 04:50:53,e_wallet,1075422.0,success,
PAY-HO-20260502-00000005,ORD-HCM-20260502-00000005,CUS-HCM-00000753,2026-05-02 23:12:04,2026-05-02 23:14:44,e_wallet,1842804.0,success,
PAY-BIN-20260426-00000006,ORD-BDG-20260426-00000006,CUS-BDG-00000387,2026-04-26 19:46:31,2026-04-26 19:49:11,bank_transfer,22814000.0,success,
PAY-HUE-20260427-00000007,ORD-HUI-20260427-00000007,CUS-HUI-00000116,2026-04-27 11:01:33,2026-04-27 11:03:44,cod,1092000.0,success,
PAY-BIN-20260427-00000008,ORD-BDG-20260427-00000008,CUS-BDG-00000491,2026-04-27 22:13:39,2026-04-27 22:14:36,bank_transfer,20883000.0,success,
PAY-BIN-20260501-00000009,ORD-BDG-20260501-00000009,CUS-BDG-00000597,2026-05-01 21:26:54,2026-05-01 21:27:22,cod,7220000.0,success,
PAY-DA-20260502-00000010,ORD-DAD-20260502-00000010,CUS-DAD-00000303,2026-05-02 21:23:42,2026-05-02 21:25:55,bank_transfer,535000.0,success,
PAY-DON-20260428-00000011,ORD-DNA-20260428-00000011,CUS-DNA-00000602,2026-04-28 08:53:47,2026-04-28 08:53:59,domestic_card,927300.0,success,
PAY-OTH-20260427-00000012,ORD-OVN-20260427-00000012,CUS-OVN-00000431,2026-04-27 09:41:38,2026-04-27 09:44:29,domestic_card,803000.0,success,
PAY-HO-20260430-00000013,ORD-HCM-20260430-00000013,CUS-HCM-00000243,2026-04-30 20:01:40,2026-04-30 20:02:22,domestic_card,7241000.0,success,
PAY-HA-20260502-00000014,ORD-HAN-20260502-00000014,CUS-HAN-00000507,2026-05-02 21:48:47,2026-05-02 21:50:07,cod,13260000.0,success,
PAY-HA-20260502-00000015,ORD-HAN-20260502-00000015,CUS-HAN-00000317,2026-05-02 10:52:39,2026-05-02 10:55:38,e_wallet,2418000.0,success,
PAY-HO-20260429-00000016,ORD-HCM-20260429-00000016,CUS-HCM-00000633,2026-04-29 15:45:30,2026-04-29 15:45:49,cod,1511000.0,success,
PAY-HUE-20260501-00000017,ORD-HUI-20260501-00000017,CUS-HUI-00000003,2026-05-01 09:48:43,2026-05-01 09:50:30,e_wallet,462000.0,success,
PAY-HA-20260502-00000018,ORD-HAN-20260502-00000018,CUS-HAN-00000660,2026-05-02 15:38:57,2026-05-02 15:41:27,e_wallet,1574000.0,success,
PAY-HAI-20260501-00000019,ORD-HPH-20260501-00000019,CUS-HPH-00000247,2026-05-01 18:59:29,2026-05-01 19:00:01,e_wallet,1280000.0,success,
PAY-HO-20260429-00000020,ORD-HCM-20260429-00000020,CUS-HCM-00000769,2026-04-29 01:56:13,2026-04-29 01:58:15,domestic_card,4035000.0,success,
